LONG;LAT;ID;PERIODO;CATEGORIA;ESTABLECIM;HABITACION;PLAZAS;DOMICILIO;TELEFONO;MAIL;WEB;DOM_NORMA;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58,4079240189;-34,5817986008;21;2017;HOTEL 3;ALPINO HOTEL;35;140;CABELLO 3316;4802-5151;HOTELALPINO@FIBERTEL.COM.AR;HTTP://HOTELALPINO.COM.AR/WEB/;3316 CABELLO;CABELLO;3316;PALERMO;COMUNA 14;1425;C1425APH
-58,4068098389;-34,5904361208;22;2017;REG DE PREST;ARENALES HOTEL;37;80;ARENALES 2984;4828 5000;INFO@HOTELARENALES.COM.AR;HTTP://HOTELARENALES.COM.AR/HOME/;ARENALES 2984;ARENALES;2984;RECOLETA;COMUNA 2;1425;C1425BEJ
-58,3951621189;-34,6080862408;23;2017;HOTEL 2;AYAMITRE HOTEL;40;89;AYACUCHO 106;4953-1655 / 5733;HOTEL-LEON@HOTMAIL.COM;HTTP://HOTELAYAMITRE.COM.AR/#1;106 AYACUCHO;AYACUCHO;106;BALVANERA;COMUNA 3;1025;C1025AAD
-58,4213983189;-34,5969504208;24;2017;HOTEL 4;BYS PALERMO;57;125;ACUÑA DE FIGUEROA, FRANCISCO 1263;4862-2956;RESERVAS@ESPLENDORBUENOSAIRES.COM;HTTP://HOTELBYS.COM.AR/;1263 ACUÑA DE FIGUEROA, FRANCISCO;ACUÑA DE FIGUEROA, FRANCISCO;1263;PALERMO;COMUNA 14;1180;C1180AAW
-58,3794532489;-34,6079652108;25;2017;HOTEL 4;CENTURIA;70;137;SUIPACHA 30;4345-0118 / 7493;RESERVAS@POSTACARRETAS.COM.AR;HTTP://HOTELCENTURIA.COM/BUENOSAIRES/;SUIPACHA 30;SUIPACHA;30;SAN NICOLAS;COMUNA 1;1008;C1008AAB
-58,3882435089;-34,6005511608;26;2017;HOTEL 2;COMFORT HOTEL;36;72;VIAMONTE 1501;4814-4917;INFO@VAINHOTEL.COM;HTTP://HOTELCOMFORT.COM.AR/;VIAMONTE 1501;VIAMONTE;1501;SAN NICOLAS;COMUNA 1;1055;C1055ABC
-58,3724057789;-34,6003123408;27;2017;HOTEL 4;FACON GRANDE;97;218;RECONQUISTA 645;4312-6361 / 09;HOTELALPINO@FIBERTEL.COM.AR;HTTP://HOTELFACONGRANDE.COM/;RECONQUISTA 645;RECONQUISTA;645;SAN NICOLAS;COMUNA 1;1003;C1003ABM
-58,4057163689;-34,6105176008;28;2017;HOTEL 3;LA PERLA HOTEL;61;120;JUJUY 0036;5218-7737 AL 40;INFO@ROONEYSBOUTIQUEHOTEL.COM;HTTP://HOTELLAPERLA.COM.AR/;JUJUY AV. 36;JUJUY AV.;36;BALVANERA;COMUNA 3;1083;C1083AAN
-58,4249826889;-34,5785531608;29;2017;HOTEL 2;PALERMO HOTEL;51;87;GODOY CRUZ 2709;4774-7342;INFO@HOTEL-PALERMO.COM.AR;HTTP://HOTEL-PALERMO.COM.AR/;2709 GODOY CRUZ;GODOY CRUZ;2709;PALERMO;COMUNA 14;1425;C1425FQK
-58,3827718589;-34,5985841508;30;2017;HOTEL 4;PRESIDENTE HOTEL;250;500;CERRITO 846;4816-2222;INFO@PAMPABELGRANO.COM.AR;HTTP://HOTELPRESIDENTE.COM.AR;846 CERRITO;CERRITO;846;RETIRO;COMUNA 1;1010;C1010AAR
-58,3890998689;-34,6062730208;31;2017;APART HOTEL 2;ICARO SUITES;62;146;MONTEVIDEO 229;4372-9000;INFO@HOTELCAHUEL.COM.AR;HTTP://ICAROSUITES.COM/;MONTEVIDEO 229;MONTEVIDEO;229;SAN NICOLAS;COMUNA 1;1019;C1019ABE
-58,3895034989;-34,5893414008;32;2017;HOTEL 4;INTERSUR RECOLETA;100;418;CALLAO AV. 1764;5533-4000;RESERVAS@INTERSURRECOLETA.COM.AR /;HTTP://INTERSURRECOLETA.COM.AR/;1764 CALLAO AV.;CALLAO AV.;1764;RECOLETA;COMUNA 2;1024;C1024AAQ
-58,3803896589;-34,6091637608;33;2017;HOTEL 1;LA FRESQUE;34;95;DE MAYO AV. 984;4331-3615;RESERVAS@KINGSHOTEL.COM.AR;HTTP://LAFRESQUEHOTEL.COM/ES/;984 DE MAYO AV.;DE MAYO AV.;984;MONSERRAT;COMUNA 1;1084;C1084AAR
-58,3851092189;-34,6081035308;34;2017;HOTEL 4;LENNOX;57;170;TALCAHUANO 52;5275-6550;RESERVAS@HOTELBLANRO.COM.AR;HTTP://LENNOXHOTELS.COM/INDEX-ES.HTML;TALCAHUANO 52;TALCAHUANO;52;SAN NICOLAS;COMUNA 1;1013;C1013AAB
-58,4273561889;-34,5912109108;35;2017;REG DE PREST;1555 MALABIA HOUSE HOTEL;15;47;MALABIA 1555;4833-2410;MARIA@MALABIAHOUSE.COM.AR;HTTP://MALABIAHOUSE.COM.AR/ESPANOL/;MALABIA 1555;MALABIA;1555;PALERMO;COMUNA 14;1414;C1414DME
-58,3883256489;-34,6003928508;36;2017;APART HOTEL 2;MAYFLOWER;46;92;PARANA 720;5238-0050;ILUM@ILUMHOTEL.COM;HTTP://MAYFLOWERSUITES.COM.AR/;PARANA 720;PARANA;720;SAN NICOLAS;COMUNA 1;1017;C1017AAP
-58,3894582589;-34,5884780408;37;2017;REG DE PREST;MIO BUENOS AIRES;29;58;QUINTATA 465;5295-8513;RESERVAS@MIOBUENOSAIRES.COM;HTTP://MIOBUENOSAIRES.COM/;QUINTANA, MANUEL, PRES. AV. 465;QUINTANA, MANUEL, PRES. AV.;465;RECOLETA;COMUNA 2;1129;C1129ABA
-58,3716111389;-34,6114625108;38;2017;HOTEL 3;MORENO HOTEL BUENOS AIRES;40;201;MORENO 376;6091-2000;RESERVAS@SAVOYHOTEL.COM.AR;HTTP://MORENOBUENOSAIRES.COM/ES/;MORENO 376;MORENO;376;MONSERRAT;COMUNA 1;1091;C1091AAH
-58,3784729289;-34,6036969508;39;2017;REG DE PREST;HOSTEL SUITES OBELISCO;36;92;CORRIENTES AV. 830;4328-4040;INFO@ARTFACTORYPALERMO.COM.AR;HTTP://OBELISCO.HOSTELSUITES.COM/;830 CORRIENTES AV.;CORRIENTES AV.;830;SAN NICOLAS;COMUNA 1;1043;C1043AAV
-58,4378305589;-34,5861757508;40;2017;REG DE PREST;OWN PALERMO HOLLYWOOD;16;32;CABRERA, JOSE A. 5556;4772-8100;RESERVATIONS@OWNPALERMO.COM;HTTP://OWNPALERMO.COM/;5556 CABRERA, JOSE A.;CABRERA, JOSE A.;5556;PALERMO;COMUNA 14;1414;C1414BHD
-58,3800844189;-34,5919136908;41;2017;APART;OWN RECOLETA;78;156;SUIPACHA 1359;4325-8200;RESERVATIONS@OWNRECOLETA.COM;HTTP://OWNRECOLETA.COM/;SUIPACHA 1359;SUIPACHA;1359;RETIRO;COMUNA 1;1011;C1011ACC
-58,4268077889;-34,5811728208;42;2017;REG DE PREST;HOSTEL SUITES PALERMO;18;37;CHARCAS 4752;4773-0806;INFO@HOSTELSUITESPALERMO.COM;HTTP://PALERMO.HOSTELSUITES.COM/SP/;4752 CHARCAS;CHARCAS;4752;PALERMO;COMUNA 14;1425;C1425BNT
-58,4684084689;-34,5558797008;43;2017;REG DE PREST;PAMPA HOSTEL;9;21;IBERA 2858;4544-2273;INFO@PAMPABELGRANO.COM.AR;HTTP://PAMPABELGRANO.COM.AR/;IBERA 2858;IBERA;2858;NUÑEZ;COMUNA 13;1429;C1429CMR
-58,4370420789;-34,5544344308;44;2017;APART HOTEL 3;HOTEL PAMPA;41;123;LA PAMPA 751/777;4789-9561;INFO@PAMPAPLAZA.COM;HTTP://PAMPAPLAZA.COM/ES/INICIO/;LA PAMPA 751;LA PAMPA;751;BELGRANO;COMUNA 13;1428;C1428DYO
-58,3808508889;-34,6019169908;45;2017;HOTEL 5;PANAMERICANO HOTEL & RESORT BS.AS.;200;430;PELLEGRINI 551;4348-5000/ FAX: 4348-5250/51;INFO@ULISESRECOLETA.COM.AR;HTTP://PANAMERICANO.US/215/ES/;PELLEGRINI, CARLOS 551;PELLEGRINI, CARLOS;551;SAN NICOLAS;COMUNA 1;1009;C1009ABK
-58,3785407889;-34,6092709808;46;2017;REG DE PREST;PORTAL DEL SUR HOSTEL;29;58;HIPOLITO YRIGOYEN 855;4342-8788;LASNACIONES@HOTELLASNACIONES.COM.AR;HTTP://PORTALDELSURBA.COM.AR/LANGUAGE/ES/INICIO/;YRIGOYEN, HIPOLITO 855;YRIGOYEN, HIPOLITO;855;MONSERRAT;COMUNA 1;1086;C1086AAM
-58,4117725089;-34,6295110308;47;2017;REG DE PREST;POSADA GOTAN;10;14;SANCHEZ DE LORIA 1618;4912-3807;POSADAGOTAN@GMAIL.COM;HTTP://POSADAGOTAN.COM/;SANCHEZ DE LORIA 1618;SANCHEZ DE LORIA;1618;SAN CRISTOBAL;COMUNA 3;1241;C1241ACH
-58,3727078189;-34,6007488608;48;2017;HOTEL 4;RECONQUISTA PLAZA HOTEL;60;120;RECONQUISTA 602;4311-4600;RESERVAS@BEHOLLYWOOD.COM;HTTP://RECONQUISTAPLAZA.COM.AR/;RECONQUISTA 602;RECONQUISTA;602;SAN NICOLAS;COMUNA 1;1003;C1003ABN
-58,3918231389;-34,6054380808;49;2017;REG DE PREST;ROONEY`S BOUTIQUE;13;30;SARMIENTO 1773;5252-5060;INFO@HOTELPROMENADE.COM.AR;HTTP://ROONEYSBOUTIQUEHOTEL.COM/ES/;SARMIENTO 1773;SARMIENTO;1773;SAN NICOLAS;COMUNA 1;1042;C1042ABG
-58,3832151989;-34,5894252408;50;2017;HOTEL 3;SERENA HOTEL BUENOS AIRES;34;107;LIBERTAD 1617/19;4813-3226;RESERVAS@SERENAHOTELES.COM;HTTP://SERENAHOTELES.COM./ES-BUENOS-AIRES.HTML;LIBERTAD 1617;LIBERTAD;1617;RETIRO;COMUNA 1;1016;C1016ABG
-58,4044151689;-34,6092576308;51;2017;HOTEL 2;TERMINE HOTEL;55;102;CASTELLI 61;4951-0071;INFO@LIBERTY-HOTEL.COM.AR;HTTP://TERMINEHOTEL.COM.AR;61 CASTELLI;CASTELLI;61;BALVANERA;COMUNA 3;1031;C1031AAA
-58,4334623489;-34,5874174008;52;2017;APART HOTEL 2;THE GLU HOTEL;11;46;GODOY CRUZ 1733;4831-4646;INFO@THEGLUHOTEL.COM;HTTP://THEGLUHOTEL.COM/;1733 GODOY CRUZ;GODOY CRUZ;1733;PALERMO;COMUNA 14;1414;C1414CYK
-58,4536245789;-34,5873932208;53;2017;HOTEL 3;TORRE HOTEL;84;176;OLLEROS 4186;4552-6034 / 6655;INFO@TORRE-HOTEL.COM.AR;HTTP://TORRE-HOTEL.COM.AR/;OLLEROS 4186;OLLEROS;4186;CHACARITA;COMUNA 15;1427;C1427EEN
-58,3925722089;-34,5890246308;54;2017;APART HOTEL 2;URBAN SUITES RECOLETA;35;70;JUNIN 1727;4803-2300;RESERVAS@URBANRECOLETA.COM;HTTP://URBANRECOLETA.COM/;JUNIN 1727;JUNIN;1727;RECOLETA;COMUNA 2;1113;C1113AAS
-58,3738325889;-34,6100921908;55;2017;HOTEL 3;HOTEL DE LAS LUCES;53;83;ALSINA, ADOLFO 527;4343-6776;INFO@MILANHOTEL.COM.AR;HTTP://UTHGRADELASLUCES.COM.AR/INDEX.PHP?N1=HOME&IDM=ES;527 ALSINA, ADOLFO;ALSINA, ADOLFO;527;MONSERRAT;COMUNA 1;1087;C1087AAG
-58,3805356089;-34,6003534508;56;2017;HOTEL 3;VIASUI;58;117;VIAMONTE 960;5252-3070 / 71 / 72 / 73;INFO@ATEMPOHOTEL.COM;HTTP://VIASUIHOTEL.COM.AR/;VIAMONTE 960;VIAMONTE;960;SAN NICOLAS;COMUNA 1;1053;C1053ABT
-58,4307427089;-34,5725127308;57;2017;HOTEL 1;248 FINISTERRA;12;23;BAEZ 248;4773-0901 / 4776-8777;INFO@248FINISTERRA.COM;HTTP://WWW.248FINISTERRA.COM/;248 BAEZ;BAEZ;248;PALERMO;COMUNA 14;1426;C1426BRF
-58,3775529489;-34,5964918608;58;2017;HOTEL 4;SHELTOWN HOTEL;68;120;ALVEAR, MARCELO T. DE 742;4312-5070 / 79;INFO@HIRECOLETA.COM.AR;HTTP://WWW.525HOTEL.COM;742 ALVEAR, MARCELO T. DE;ALVEAR, MARCELO T. DE;742;RETIRO;COMUNA 1;1058;C1058AAJ
-58,3742455389;-34,6098983408;59;2017;HOTEL 4;562 NOGARO (EX NOGARO);140;200;JULIO A. ROCA 562;4331-0091;RESERVAS@562NOGAROHOTEL.COM;HTTP://WWW.562NOGAROHOTEL.COM/DEFAULT-ES.HTML;ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV. 562;ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV.;562;MONSERRAT;COMUNA 1;1067;C1067ABN
-58,3768028489;-34,6045818008;60;2017;REG DE PREST;O6 CENTRAL HOSTEL;10;34;MAIPU 306;;RESERVAS@525HOTEL.COM;HTTP://WWW.6CENTRALHOSTEL.COM/;MAIPU 306;MAIPU;306;SAN NICOLAS;COMUNA 1;1006;C1006ACB
-58,3767065989;-34,6060971408;61;2017;HOTEL 5;725 CONTINENTAL HOTEL;192;652;SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 725;4131-8000;RESERVAS@725CONTINENTAL.COM;HTTP://WWW.725CONTINENTAL.COM;725 SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.;SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.;725;SAN NICOLAS;COMUNA 1;1035;C1035AAC
-58,3888722989;-34,6102478008;62;2017;HOTEL 3;IBIS HOTEL;110;337;HIPOLITO YRIGOYEN 1592;5300-5555;RESERVAS@HOTELBRISTOL.COM.AR;HTTP://WWW.ACCORHOTELS.COM/ES/HOTEL-3251-IBIS-BUENOS-AIRES/INDEX.SHTML;YRIGOYEN, HIPOLITO AV. 1592;YRIGOYEN, HIPOLITO AV.;1592;MONSERRAT;COMUNA 1;1089;C1089AAD
-58,3857187389;-34,6041267108;63;2017;HOTEL 3;HOTEL IBIS BUENOS AIRES OBELISCO;168;336;CORRIENTES AV. 1344;4370-9300;PRINCIPE@HOTEL-PRINCIPE.COM.AR;HTTP://WWW.ACCORHOTELS.COM/ES/HOTEL-652-IBIS-BUENOS-AIRES-OBELISCO/INDEX.SHTML;1344 CORRIENTES AV.;CORRIENTES AV.;1344;SAN NICOLAS;COMUNA 1;1043;C1043ABN
-58,3855854389;-34,6041189008;64;2017;HOTEL 4;NOVOTEL;129;258;CORRIENTES AV. 1334;4370-9300 / 9500;RESERVAS@SOFITEL.COM;HTTP://WWW.ACCORHOTELS.COM/ES/HOTEL-653-NOVOTEL-BUENOS-AIRES/INDEX.SHTML;1334 CORRIENTES AV.;CORRIENTES AV.;1334;SAN NICOLAS;COMUNA 1;1043;C1043ABN
-58,3873058789;-34,5913636808;65;2017;REG DE PREST;ALGODON MANSION;10;33;MONTEVIDEO 1647;3530-7777;RESERVATIONS@ALGODONMANSION.COM;HTTP://WWW.ALGODONMANSION.COM/ES;MONTEVIDEO 1647;MONTEVIDEO;1647;RETIRO;COMUNA 1;1021;C1021AAA
-58,3845928889;-34,6169733208;66;2017;REG DE PREST;ALMA DEL PLATA;37;74;SANTIAGO DEL ESTERO 727;4383-0040;INFO@HOTELELEVEN.COM.AR;HTTP://WWW.ALMADELPLATA.COM/;SANTIAGO DEL ESTERO 727;SANTIAGO DEL ESTERO;727;MONSERRAT;COMUNA 1;1075;C1075AAO
-58,4801412189;-34,5883908608;67;2017;REG DE PREST;ALTOS DE AGRONOMIA;3;6;BARZANA 1249;4522-4916;ALTOSBB@HOTMAIL.COM;HTTP://WWW.ALTOSDEAGRONOMIA.COM.AR/;1249 BARZANA;BARZANA;1249;PARQUE CHAS;COMUNA 15;1427;C1427BGE
-58,3801422989;-34,5960634608;68;2017;REG DE PREST;ALVEAR ART;140;561;SUIPACHA 1036;4114-3400;INFO@HOTELSALLES.COM.AR / RESERVAS@HOTELSALLES.COM.AR;HTTP://WWW.ALVEARART.COM/;SUIPACHA 1036;SUIPACHA;1036;RETIRO;COMUNA 1;1008;C1008AAV
-58,3889483589;-34,5875813408;69;2017;HOTEL 5;ALVEAR PALACE HOTEL;200;405;ALVEAR AV. 1891;4808-2100;RESERVAS@ALVEAR.COM.AR / INFO@ALVEARPALACE.COM;HTTP://WWW.ALVEARPALACE.COM/;1891 ALVEAR AV.;ALVEAR AV.;1891;RECOLETA;COMUNA 2;1129;C1129AAA
-58,3726146789;-34,5998660408;70;2017;HOTEL 4;AMERIAN BUENOS AIRES PARK HOTEL;152;304;RECONQUISTA 699;5171-6500;INFO@AMERIAN.COM;HTTP://WWW.AMERIAN.COM/HOTEL-AMERIAN-BUENOS-AIRES-PARK-HOTEL;RECONQUISTA 699;RECONQUISTA;699;SAN NICOLAS;COMUNA 1;1003;C1003ABM
-58,3912458889;-34,6081236408;71;2017;APART HOTEL 2;AMERICA PLAZA HOTEL;90;302;MITRE, BARTOLOME 1744;5032-5200;RESERVAS@HOTELFACONGRANDE.COM;HTTP://WWW.AMERICAPLAZAHOTEL.COM.AR;1744 MITRE, BARTOLOME;MITRE, BARTOLOME;1744;SAN NICOLAS;COMUNA 1;1037;C1037ABH
-58,3963705389;-34,5914267208;72;2017;REG DE PREST;ARC RECOLETA;59;118;PEÑA 2155;2150-4680;RESERVAS@ARCHOTELES.COM.AR;HTTP://WWW.ARCRECOLETA.COM.AR;PEÑA 2125;PEÑA;2155;RECOLETA;COMUNA 2;0;
-58,3795782789;-34,5930492808;73;2017;HOTEL 4;ARGENTA TOWER;97;194;JUNCAL 868;4325-4100;RESERVAS@1828SMARTHOTEL.COM;HTTP://WWW.ARGENTA-TOWER.COM.AR/;JUNCAL 868;JUNCAL;868;RETIRO;COMUNA 1;1062;C1062ABF
-58,4234179089;-34,5903805508;74;2017;REG DE PREST;ART FACTORY PALERMO;10;25;COSTA RICA 4353;;INFO@ARTFACTORYPALERMO.COM.AR;HTTP://WWW.ARTFACTORYHOSTELS.COM.AR/;4353 COSTA RICA;COSTA RICA;4353;PALERMO;COMUNA 14;1414;C1414BSC
-58,3781731589;-34,5972142508;75;2017;APART HOTEL 3;ASPEN SUITES;149;683;ESMERALDA 933;4313-9011;RESERVAS@GRANHOTELAILEN.COM.AR;HTTP://WWW.ASPENSUITES.COM.AR/;933 ESMERALDA;ESMERALDA;933;RETIRO;COMUNA 1;1007;C1007ABK
-58,3794146089;-34,6090968308;76;2017;HOTEL 2;ASTORIA;60;132;DE MAYO AV. 916;4334-9061 / 5;TRYP.BUENOS.AIRES@SOLMELIA.COM;HTTP://WWW.ASTORIAHOTEL.COM.AR/;916 DE MAYO AV.;DE MAYO AV.;916;MONSERRAT;COMUNA 1;1084;C1084AAR
-58,3793446189;-34,6019165508;77;2017;APART HOTEL 2;ARGENTINA TANGO HOTEL;28;105;SUIPACHA 545/ 7;4322- 3434;RESERVAS@MELIARECOLETAPLAZA.COM.AR;HTTP://WWW.ATANGOHOTEL.COM/;SUIPACHA 545;SUIPACHA;545;SAN NICOLAS;COMUNA 1;1008;C1008AAK
-58,4418898689;-34,5819734608;78;2017;REG DE PREST;ATEMPO DESIGN HOTEL;28;79;AREVALO 1564;5297-3333;INFO@ATEMPOHOTEL.COM;HTTP://WWW.ATEMPOHOTEL.COM/;1564 AREVALO;AREVALO;1564;PALERMO;COMUNA 14;1414;C1414CQF
-58,3919144989;-34,6045911808;79;2017;HOTEL 3;ATLAS TOWER;72;144;CORRIENTES AV. 1778;4371-9371 / 5217;RESERVAS@ATLASTOWER.COM.AR;HTTP://WWW.ATLASTOWER.COM.AR/;1778 CORRIENTES AV.;CORRIENTES AV.;1778;SAN NICOLAS;COMUNA 1;1042;C1042AAQ
-58,3892874989;-34,6080954408;80;2017;HOTEL 3;BABEL PLAZA (EX-RIVER HOTEL);42;84;MONTEVIDEO 84/86;4331-6300;RESERVAS@BABELHOTELS.COM.AR;HTTP://WWW.BABELHOTELS.COM.AR/;MONTEVIDEO 84;MONTEVIDEO;84;SAN NICOLAS;COMUNA 1;1019;C1019ABB
-58,3964866989;-34,6051310608;81;2017;HOTEL 3;BA CENTRAL;78;190;JUNIN 357;4953-4455 / 4071;RESERVAS@HOTELCENTRALCORDOBA.COM.AR;HTTP://WWW.BACENTRALHOTEL.COM.AR/;JUNIN 357;JUNIN;357;BALVANERA;COMUNA 3;1026;C1026ABG
