X;Y;ID;NOMBRE;DIRECCION;PISO_DPTO;CP;CPA;BARRIO;COMUNA;DIAS_Y_HOR;TELEFONOS;EMAIL;WEB;ACTIVIDAD;DEPENDE;PUBLICO;SECTOR;ACTIV
-34.59948771726511;-58.38913744282508;11;BIBLIOTECA CIRCE - BIBLIOTECA TESORO;CORDOBA AV. 1558;;1055;C1055AAS;SAN NICOLAS;COMUNA 1;LUNES A VIERNES: 9 A 13 HS. CON RESERVA TELEFONICA;4812-1840 INTERNO: 119;BIBLIOTECA_CIRCE@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.63751515198204;-58.40742949814535;12;BIBLIOTECA ENRIQUE BANCHS (INFANTO JUVENIL);CASEROS AV. 3100;;1264;C1264AAX;PARQUE PATRICIOS;COMUNA 4;LUN A VIER DE 10 A 17 HS - DOM Y FER.: 09 A 19 HS;4943-1078;BIBLIOTECA_BANCHS@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;NIÑOS;ESTADO MUNICIPAL;
-34.634051710654695;-58.43833783231772;13;BIBLIOTECA ESTANISLAO DEL CAMPO;DE LAS ARTES 1210;;1424;C1424BCH;PARQUE CHACABUCO;COMUNA 7;LUNES A VIERNES DE 10:00 A 19:00.;4926-0161;BIBLIOTECA_DELCAMPO@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.59414211626405;-58.41611356440559;14;BIBLIOTECA EVARISTO CARRIEGO;HONDURAS 3784;PB;1180;C1180ACB;PALERMO;COMUNA 14;LUNES A VIERNES DE 11:00 A 18:00.;4963-2194;BIBLIOTECA_CARRIEGO@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.62333670051808;-58.49222261701263;15;BIBLIOTECA HILARIO ASCASUBI;DIAZ, CESAR, GRAL. 4219;PB;1407;C1407ETS;FLORESTA;COMUNA 10;LUNES A VIERNES DE 9:00 A 17:00.;4566-5171;BIBLIOTECA_ASCASUBI@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.6481365775905;-58.43644433647578;16;BIBLIOTECA JAVIER VILLAFAÑE (CON ANEXO INFANTIL);JANER, ANA MARIA Y TORRES Y TENORIO, PRES.;MANZANA 5 - LOCAL 279;1406;;FLORES;COMUNA 7;LUNES A VIERNES DE 9:00 A 16:00.;4919-0058;BIBLIOTECA_VILLAFANE@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.635417590607624;-58.359041839999705;17;BIBLIOTECA JOAQUIN V. GONZALEZ (CON ANEXO INFANTIL);SUAREZ 408;;1162;C1162AEJ;BOCA;COMUNA 4;LUNES A VIERNES DE 8:00 A 18:00 / SAB. DOM. Y FER. 10:00 A 18:00;4302-2481;BIBLIOTECA_GONZALEZ@BUENOSAIRES.GOV.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.64636149393454;-58.52096285883602;18;BIBLIOTECA JOSE HERNANDEZ;BOQUERON 6753;;1408;C1408EHA;LINIERS;COMUNA 9;LUNES A VIERNES DE 10:00 A 17:00.;4641-3673;BIBLIOTECA_HERNANDEZ@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.56494321491814;-58.46168693324267;19;BIBLIOTECA JOSE MARMOL;JURAMENTO 2937;PB;1428;C1428DNY;BELGRANO;COMUNA 13;LUNES A VIERNES  DE 10:00 A 17:00.;4781-7871;BIBLIOTECA_MARMOL@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.66598168083003;-58.474500480448796;20;BIBLIOTECA JULIO CESAR SAGUIER (CON ANEXO INFANTIL);DELLEPIANE, LUIS, TTE. GRAL. 4801;PB TORRE 14;;;VILLA LUGANO;COMUNA 8;LUNES A VIERNES DE 10:00 A 17:00.;4635-4009;BIBLIOTECA_SAGUIER@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.59788444104003;-58.42980330035333;21;BIBLIOTECA JULIO CORTAZAR / CASA DE LA LECTURA;LAVALLEJA 924;PISO 1;1414;C1414DTT;VILLA CRESPO;COMUNA 15;LUNES A VIERNES DE 15:00 A 20:00. SABADOS, DOMINGOS Y FERIADOS DE 9:00 A 19:00.;5197-5084;BIBLIOTECA_CORTAZAR@BUENOSAIRES.GOV.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.64483720213715;-58.40825282792061;22;BIBLIOTECA LA PRENSA;PAZ, JOSE C. 3300;;1437;C1437IQH;PARQUE PATRICIOS;COMUNA 4;LUNES A VIERNES DE 10:00 A 17:00.;4912-2701;BIBLIOTECA_LAPRENSA@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.56159928879758;-58.448722431649;23;BIBLIOTECA REINA BATATA (INFANTO JUVENIL);11 DE SEPTIEMBRE DE 1888 Y LA PAMPA;;;;BELGRANO;COMUNA 13;LUN A DOM Y FER.: 10 A 17 HS;4783-3648;BIBLIOTECA_REINABATATA@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;NIÑOS;ESTADO MUNICIPAL;
-34.56383669453631;-58.45259489031941;24;BIBLIOTECA LEOPOLDO LUGONES;LA PAMPA 2215;PB;1428;C1428EAM;BELGRANO;COMUNA 13;LUNES A VIERNES DE 10:00 A 17:00.;4783-1567;BIBLIOTECA_LUGONES@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.59948771726511;-58.38913744282508;25;BIBLIOTECA MANUEL GALVEZ;CORDOBA AV. 1558;PB;1055;C1055AAS;SAN NICOLAS;COMUNA 1;LUNES  A VIERNES DE 9:00 A 19:00;4812-4723;BIBLIOTECA_GALVEZ@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.637809316142246;-58.45644808095447;26;BIBLIOTECA MARIANO PELLIZA;CRANWELL 819;;1406;C1406EBG;FLORES;COMUNA 7;LUNES A VIERNES DE 10:00 A 17:00.;4631-0961;BIBLIOTECA_PELLIZA@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.61471499877051;-58.38814024640189;27;BIBLIOTECA MARTIN DEL BARCO CENTENERA (CON ANEXO DE GENERO);VENEZUELA 1538;PB;1095;C1095ABF;MONSERRAT;COMUNA 1;LUNES A VIERNES DE 9:00 A 19:00.;4381-1271;BIBLIOTECA_CENTENERA@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.62500862987283;-58.426347325269624;28;BIBLIOTECA MIGUEL CANE (CON ANEXO INFANTIL);CALVO, CARLOS AV. 4319;PB;1230;C1230ABY;BOEDO;COMUNA 5;LUNES A VIERNES DE 8:00 A 18:00 HS;4922-0020;BIBLIOTECA_CANE@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.673748193888635;-58.45900361317916;29;BIBLIOTECA NORAH LANGE;FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.;;;;VILLA LUGANO;COMUNA 8;SABADOS, DOMINGOS Y FERIADOS DE 10:00 A 17:00 HS.;;;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.60957797818846;-58.48391969262036;30;BIBLIOTECA RAFAEL OBLIGADO;CRAINQUEVILLE 2233;PB;1416;C1416AVC;VILLA SANTA RITA;COMUNA 11;LUNES A VIERNES DE 10.00 A 17:00.;4581-8640;BIBLIOTECA_OBLIGADO@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.59363884061729;-58.385949982372814;31;BIBLIOTECA RICARDO GUIRALDES;TALCAHUANO 1261;PB;1014;C1014ADA;RETIRO;COMUNA 1;LUNES A VIERNES DE 12:00 A 19:30.;4812-3118, INTERNO: 224;BIBLIOTECA_GUIRALDES@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.59788444104003;-58.42980330035333;32;CASA DE LA LECTURA - ESPACIO CULTURAL;LAVALLEJA 924;;1414;C1414DTT;VILLA CRESPO;COMUNA 15;LUNES A VIERNES DE 15:00 A 20:00. SABADOS, DOMINGOS Y FERIADOS DE 09:00 A 20:00.;5197-5476;CASADELALECTURA@GMAIL.COM;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.60848379973595;-58.37440435532054;34;CASA DE LA CULTURA;DE MAYO AV. 575;;1084;C1084AAA;MONSERRAT;COMUNA 1;MARTES A DOMINGOS DE 14:00 A 20:00.;4323-9669;SUBSECPATRIMONIOCULTURAL@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/CASA_CULTURA/;CENTRO CULTURAL;MINISTERIO DE CULTURA - SUBSECRETARIA DE PATRIMONIO CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.6081703798867;-58.45330646753296;35;CENTRO CULTURAL ALBERTO OLMEDO;VIALE, LUIS 1052;PB;1416;C1416DML;CABALLITO;COMUNA 6;LUNES A VIERNES DE 17:00 A 22:00.;4581-8369;CCALBERTOOLMEDO@HOTMAIL.COM;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.60032472276961;-58.41161585586231;36;CENTRO CULTURAL ALFONSINA STORNI;TUCUMAN 3233;PB;1189;C1189AAK;BALVANERA;COMUNA 3;LUNES A VIERNES DE 18:00 A 21:00.;4862-1275;CCALFONSINASTORNI@HOTMAIL.COM;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.621550072704295;-58.49228807819247;37;CENTRO CULTURAL BALDOMERO FERNANDEZ MORENO;MERCEDES 1405;PB;1407;C1407AIA;FLORESTA;COMUNA 10;LUNES A VIERNES DE 17:00 A 22:00.;4566-3743;CCBALDOMEROFERNANDEZMORENO@YAHOO.COM.AR;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.605367766748735;-58.388585025559074;38;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;;1042;C1042ABC;SAN NICOLAS;COMUNA 1;LUNES A VIERNES DE 10:00 A 21:00.;4374-1251 AL 59;CCGSM@BUENOSAIRES.GOB.AR;HTTP://WWW.CENTROCULTURALSANMARTIN.COM;CENTRO CULTURAL;MINISTERIO DE CULTURA - CENTRO CULTURAL GENERAL SAN MARTIN;GENERAL;ESTADO MUNICIPAL;
-34.65142676717078;-58.39664309728252;39;CENTRO CULTURAL NUESTRA TIERRA;IRIARTE, GRAL. AV. Y MONTESQUIEU;PB;;;BARRACAS;COMUNA 4;LUNES A VIERNES DE 18:00 A 21:00.;4302-4324;LUISABOGGI@YAHOO.COM.AR;WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.5864938304228;-58.39157761250419;40;CENTRO CULTURAL RECOLETA;JUNIN 1930;;1113;C1113AAX;RECOLETA;COMUNA 2;LUNES A VIERNES DE 14:00 A 21:00. SABADOS Y DOMINGOS DE 10:00 A 21:00.;4803-1040;INFO@CENTROCULTURAL.ORG;HTTP://WWW.CENTROCULTURALRECOLETA.ORG;CENTRO CULTURAL;MINISTERIO DE CULTURA - MINISTERIO DE CULTURA;GENERAL;ESTADO MUNICIPAL;
-34.59185320179216;-58.417255733601756;41;CENTRO CULTURAL TATO BORES;SOLER 3929;;1425;C1425BWO;PALERMO;COMUNA 14;LUNES A VIERNES DE 17:30 A 21:30.;4824-6364;CENTROCULTURALTATOBORES@YAHOO.COM.AR;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.6412975520066;-58.47992772490574;42;COMPLEJO CULTURAL CHACRA DE LOS REMEDIOS;DIRECTORIO AV. Y LACARRA;PB;1407;;PARQUE AVELLANEDA;COMUNA 9;MARTES A VIERNES DE 14:00 A 20:00. SABADOS, DOMINGO Y FERIADOS DE 11:00 A 20:00.;4636-0754 / 4672-1790;CHACRADELOSREMEDIOS@BUENOSAIRES.GOV.AR;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/PROM_CULTURAL/CCULTURALES/REMEDIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.61225030265218;-58.37471057098631;43;LA VIDRIERA DE LA DGEART;PERU 374;PB;1067;C1067AAH;MONSERRAT;COMUNA 1;LUNES A SABADOS DE 10:00 A 20:00.;4342-9416 / 4342-8487;DGEARTEXTENSION@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_ENS_ART/VIDRIERA_DGEART.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE ENSEÑANZA ARTISTICA;GENERAL;ESTADO MUNICIPAL;
-34.62864686377672;-58.35598377822312;44;USINA DEL ARTE;DON PEDRO DE MENDOZA AV. Y CAFFARENA, AGUSTIN R.;;;;BOCA;COMUNA 4;;;USINADELARTEBSAS@GMAIL.COM;;CENTRO CULTURAL;MINISTERIO DE CULTURA - USINA DEL ARTE;GENERAL;ESTADO MUNICIPAL;
-34.63591666198442;-58.44173207390208;45;CENTRO CULTURAL ADAN BUENOS AYRES;ASAMBLEA AV. 1200;;1406;C1406HVO;PARQUE CHACABUCO;COMUNA 7;LUNES A VIERNES DE 10:00 A 20:00.;4923-5876;CCADANBUENOSAYRES@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/PROM_CULTURAL/CCULTURALES/BUENOSAYRES.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.58380238804702;-58.438770504561035;46;CENTRO CULTURAL ANIBAL TROILO;GORRITI 5740;;1414;C1414BKH;PALERMO;COMUNA 14;LUNES A VIERNES DE 17:00 A 22:00.;4771-6292;CULTURALANIBALTROILO@HOTMAIL.COM;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.63830402006686;-58.436140674990476;47;CENTRO CULTURAL ARTES DE PARQUE CHACABUCO;CACHIMAYO 1657;;1424;C1424ARS;PARQUE CHACABUCO;COMUNA 7;LUNES A VIERNES DE 17:30 A 21:30.;4921-5445;ARTES.CENTROCULTURAL@GMAIL.COM;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
-34.66654060895771;-58.47353141960262;48;CENTRO CULTURAL BARRIO COPELLO;DELLEPIANE, LUIS, TTE. GRAL. 4900;;;;VILLA LUGANO;COMUNA 8;LUNES A VIERNES DE 17:30 A 21:30.;4602-4740;CENTROCULTURALCOPELLO@HOTMAIL.COM;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/CULTURA/CEN_CULTURALES/PROG_BARRIOS.PHP;CENTRO CULTURAL;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PROMOCION CULTURAL;GENERAL;ESTADO MUNICIPAL;
