X;Y;ID;NOMBRE;TIPO;TIPO_NORMA;SEDE;DIRECCION;OBSERVACIONES_DIRECCION;TELEFONO;E_MAIL;FACEBOOK;WEB;ACTIVIDADE;INSTALACIO;CALLE;ALTURA;CALLE2;DIRECCION_;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.4730278868335;-34.6062768232927;176;ASOCIACION ATLETICA ARGENTINOS JUNIORS;CLUB;CLUB;ANEXO ESTADIO DIEGO ARMANDO MARADONA;GAVILAN 2151;;4581-1243;;AAAJOFICIAL;WWW.ARGENTINOSJUNIORS.COM.AR - WWW.ELTEMPLODELFUTBOL.COM.AR;FUTBOL. COLONIA DE VACACIONES.;ESTADIO - MUSEO;GAVILAN;2151;;GAVILAN 2151;VILLA GRAL. MITRE;COMUNA 11;1416;C1416ACS
-58.450522039246;-34.6536319107651;175;ASOCIACION ATLETICA ARGENTINOS JUNIORS;CLUB;CLUB;ANEXO COMPLEJO FUTBOLISTICO;AV. LAFUENTE 2105;;;;AAAJOFICIAL;WWW.ARGENTINOSJUNIORS.COM.AR;FUTBOL. COLONIA DE VACACIONES.;COMPLEJO FUTBOLISTICO: CENTRO DE ENTRENAMIENTO Y FORMACION DEL FUTBOL AMATEUR (C.E.F.F.A.) UN PREDIO DE PRIMER NIVEL. DE LUNES A VIERNES ASISTEN MAS DE 350 CHICOS, DESDE LA RESERVA HASTA LAS CATEGORIAS MENORES DE INFANTILES. EL PERSONAL SE COMPONE DE 1 I;LAFUENTE AV.;2105;;LAFUENTE AV. 2105;VILLA SOLDATI;COMUNA 8;1406;C1406EUK
-58.4697100588939;-34.5911925254252;177;ASOCIACION ATLETICA ARGENTINOS JUNIORS;CLUB;CLUB;CENTRAL POLIDEPORTIVO LAS MALVINAS;PUNTA ARENAS 1271;;4551-6887 / 4552-5603;;AAAJOFICIAL;WWW.ARGENTINOSJUNIORS.COM.AR;BASQUET, HOCKEY SOBRE PATINES, PATIN, VOLEY, HANDBOL, ESCUELA DE FUTBOL, BOXEO, TAEKWONDO, YOGA, BOCHAS, NATACION, GIMNASIA, JUDO. COLONIA DE VACACIONES.;PISTA DE PATIN, 4 NATATORIOS (2 CUBIERTOS), GIMNASIO PARA BOX, CANCHAS DE BOCHAS, CANCHAS DE PADDLE, CANCHA DE HANDBALL, CANCHA DE HOCKEY, CANCHA DE BASQUET, CANCHA DE FUTBOL.;PUNTA ARENAS;1271;;PUNTA ARENAS 1271;PATERNAL;COMUNA 15;1427;C1427DQB
-58.4449040443759;-34.6355404370386;290;ASOCIACION ATLETICA PARQUE CHACABUCO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA - ADMINISTRATIVA;DAVILA 1330 ;PISO 3 DPTO A;;AAPCHACABUCO@GMAIL.COM;ASOCIACION ATLETICA PARQUE CHACABUCO;;ATLETISMO;ENTRENAN EN EL POLIDEPORTIVO CHACABUCO;1330 (PISTA PQUE. CHACABUCO);DAVILA;;;;;;
-58.4299285932447;-34.6290050309149;215;ASOCIACION ATLETICO PRIMERA JUNTA;CLUB DE BARRIO;CLUB_DE_BARRIO;;ZUVIRIA 250;;4922-1796;;;;BABY, FUTSAL, FUTBOL FEMENINO, MURGA;1 CANCHA - 1 SALON;ZUVIRIA;250;;ZUVIRIA 250;PARQUE CHACABUCO;COMUNA 7;1424;C1424CKF
-58.3766617039229;-34.6074333671892;99;ASOCIACION BANCARIA;CLUB;CLUB;SEDE ADMINISTRATIVA (Y TIENEN ANEXOS EN PROVINCIA);MAIPU 62;PISO 3 OF 17;4343-6126 / 4342-2117;ABADARGENTINA@GMAIL.COM;ASOCIACION BANCARIA ARGENTINA DE DEPORTES;WWW.ABADARGENTINA.COM.AR;FUTBOL, BASQUET, TENIS, TIRO, PESCA, VOLEY, BOWLING, GOLF Y AJEDREZ.;SIN INSTALACIONES, UTILIZAN INSTALACIONES DE ASOCIACIONES Y CLUBES MIEMBROS;MAIPU;62;;MAIPU 62;SAN NICOLAS;COMUNA 1;1084;C1084ABB
-58.4482090226481;-34.6075527578871;118;ASOCIACION CIRCULO ITALO ARGENTINO LIBER PIEMONT;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;GRAL. MANUEL RODRIGUEZ 1191;;4581-5189;;;;YOGA, ARTES MARCIALES, TANGO, BILLAR, GIMNASIA, DANZAS CLASICAS, CLASES DE TANGO Y FOLKLORE. ACTIVIDADES CULTURALES.;CANCHA - SALONES - BIBLIOTECA;RODRIGUEZ, MANUEL A., GENERAL;1191;;RODRIGUEZ, MANUEL A., GENERAL 1191;CABALLITO;COMUNA 6;1416;C1416CMA
-58.521236423563;-34.6367434712927;65;ASOCIACION CIVIL CLUB ATLETICO SOCIAL Y DEPORTIVO DEFENSORES DE OBRA SOCIAL FERROVIARIA DOSFE;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;RESERVISTAS ARGENTINOS 195;;4641-2455;;;;FUTBOL, VOLEY, BOCHAS, AJEDREZ.;;RESERVISTAS ARGENTINOS;195;;RESERVISTAS ARGENTINOS 195;LINIERS;COMUNA 9;1408;C1408AIC
-58.4155660407943;-34.5691714743677;13;ASOCIACION CIVIL CLUB HIPICO BUENOS AIRES;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;FIGUEROA ALCORTA 4800;ESQUINA BELISARIO ROLDAN ENFRENTE DEL VIEJO VELODROMO (HOY EL CLUB CUBA);4777-1222;CLUBHIPICOBSAS@HOTMAIL.COM;;;HIPISMO - ESCUELA DE EQUITACION DESDE 6 AÑOS HASTA ADOLESCENTES - EQUINOTERAPIA;1 SALON - 2 PISTAS DE HIPISMO;FIGUEROA ALCORTA, PRES. AV.;4800;;FIGUEROA ALCORTA, PRES. AV. 4800;PALERMO;COMUNA 14;1425;C1425CMN
-58.436768335985;-34.6442001738451;216;ASOCIACION CIVIL CLUB SOCIAL Y CULTURAL MIRAFLORES;CLUB DE BARRIO;CLUB_DE_BARRIO;;SOMELLERA 1770;;4382-5931;;;;BABY, FUTSAL, PATIN, NATACION, TENIS;1 SALON - 1 CANCHA - CANCHA DE TENIS;SOMELLERA;1770;;SOMELLERA 1770;PARQUE CHACABUCO;COMUNA 7;1406;C1406IOB
-58.3757432903086;-34.5843321144276;287;ASOCIACION CIVIL DE AYUDA, RECREATIVA Y POLIDEPORTIVA 17 DE NOVIEMBRE;CLUB DE BARRIO;CLUB_DE_BARRIO;;CALLE 4 Y 5  VILLA 31;;;POLI_31@HOTMAIL.COM;;;BABY, BASKET, VOLEY;1 CANCHA;4 Y 5 - VILLA 31;CALLE;;;;;;
-58.425784999018;-34.6219667363925;55;ASOCIACION CIVIL DE VECINOS FLORENTINO AMEGHINO (AVEFA);CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;INDEPENDENCIA 4246;;4922-2501 A PARTIR DE LAS 17 HS HASTA LAS 24 HS;;SOYDEADEFA;;BABY, FUTSAL, YOGA. ACTIVIDADES CULTURALES.;CANCHA - BIBLIOTECA;INDEPENDENCIA AV.;4246;;INDEPENDENCIA AV. 4246;BOEDO;COMUNA 5;1226;C1226AAU
-58.4461778543876;-34.5983909606963;292;ASOCIACION CIVIL LA CULTURA DEL BARRIO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;MURILLO 957;;2053-9867;BOXEO.LCDB@GMAIL.COM;;;TAEKWONDO, BOXEO, KICK BOXING, YOGA, MUAY THAI, JIU JITSU, GIMNASIA FUNCIONAL, PING PONG.;;MURILLO;957;;MURILLO 957;VILLA CRESPO;COMUNA 15;1407;C1407ABA
-58.4809830073327;-34.632039875115;291;ASOCIACION CIVIL MANO A MANO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;BAHIA BLANCA 105;;4674-6262;ASOCIACIONCIVIL_MANOAMANO@YAHOO.COM.AR;;;BABY FUTBOL (RECREATIVO Y COMPETITIVO) NIÑOS Y NIÑAS DE 4 A 13 AÑOS - FUTBOL FEMENINO PARA MUJERES A PARTIR DE LOS 17 AÑOS - GIMNASIA RECREATIVA INFANTIL NIÑOS Y NIÑAS DE 4 A 8 AÑOS;;BAHIA BLANCA;105;;BAHIA BLANCA 105;FLORESTA;COMUNA 10;1407;C1407ABA
-58.3790110887791;-34.6172136680191;194;ASOCIACION CIVIL OLIMPIA FUTBOL CLUB DE LA CIUDAD DE BUENOS AIRES;CLUB DE BARRIO;CLUB_DE_BARRIO;;TACUARI 773;;4307-163;;;;;;TACUARI;773;;TACUARI 773;MONSERRAT;COMUNA 1;1071;C1071AAO
-58.3935616514889;-34.6262823669515;198;ASOCIACION CIVIL SARANDI SOCIAL, CULTURAL Y DEPORTIVA;CLUB DE BARRIO;CLUB_DE_BARRIO;;SARANDI 1477;;4308-0822;;;;FUTBOL, VOLEY, HANDBOL, BASQUET;1 CANCHA;SARANDI;1477;;SARANDI 1477;SAN CRISTOBAL;COMUNA 3;1251;C1251ADE
-58.4346130592846;-34.558282483897;273;ASOCIACION CIVIL SIN FINES DE LUCRO GOLF CLUB LAGOS DE PALERMO;CLUB;CLUB;;AV. TORNQUIST 6397;;4774-5108;;;;GOLF;CAMPO DE GOLF;TORNQUIST, ERNESTO AV.;6397;;TORNQUIST, ERNESTO AV. 6397;PALERMO;COMUNA 14;1426;C1426CDA
-58.4496361570064;-34.6365973673662;54;ASOCIACION CIVIL SOCIEDAD DE FOMENTO Y CULTURA MALVINAS ARGENTINAS;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;EVA PERON 1930;;4923-1887;;;;TAEKWONDO, AJEDREZ, YOGA, ACTIVIDADES PARA JUBILADOS, BACHATA, SALSA, FOLKLORE. ACTIVIDADES CULTURALES.;BIBLIOTECA - 3 SALONES;PERON, EVA AV.;1930;;PERON, EVA AV. 1930;PARQUE CHACABUCO;COMUNA 7;1406;C1406HMU
-58.4243749694282;-34.6289573995635;210;ASOCIACION CIVIL Y DEPORTIVA EL BARRIO;CLUB DE BARRIO;CLUB_DE_BARRIO;;CONSTITUCION 4253;;4924-9291;;;;BABY, PATIN, VOLEY, KARATE, MURGA, HANDBOL;1 CANCHA - 1 SALON;CONSTITUCION;4253;;CONSTITUCION 4253;BOEDO;COMUNA 5;1254;C1254ABW
-58.3964318841756;-34.6471387694303;200;ASOCIACION CLUB ATLETICO BARRACAS CENTRAL;CLUB;CLUB;;LUNA 1211;;4301-5855;INFO@BARRACASCENTRAL.COM;;;PATIN, VOLEY, HANDBOL, GIMNASIA DEPORTIVA, FUTBOL;CANCHA - SALONES - GIMNASIO;LUNA;1211;;LUNA 1211;BARRACAS;COMUNA 4;1437;C1437FFC
-58.4956715701373;-34.6207729394452;233;ASOCIACION CLUB ATLETICO IGUAZU;CLUB DE BARRIO;CLUB_DE_BARRIO;;SAN BLAS 4225;;4639-5969;;;;BABY (SE REALIZA EN EL POLIDEPORTIVO POMAR);1 SALON.;SAN BLAS;4225;;SAN BLAS 4225;FLORESTA;COMUNA 10;1407;C1407FTS
-58.4464901990002;-34.656276081533;179;ASOCIACION CRISTIANA DE JOVENES DE LA REPUBLICA ARGENTINA;CLUB;CLUB;ANEXO SEDE PARQUE;AV. LAFUENTE 2480;;4918-3244;YMCA@YMCA.ORG.AR;YMCA ARGENTINA;WWW.YMCA.ORG.AR;FUTBOL (MASCULINO Y FEMENINO), BASQUET (MASCULINO Y FEMENINO), VOLEY (MASCULINO Y FEMENINO), GIMNASIO DE PESAS, GIMNASIO BOUTIQUE, ESCUELA DE NATACION (JOVENES Y ADULTOS), PILETA LIBRE, PISTA AEROBICA, AIKIDO, BUCEO, ESCALADA EN ROCA, KARATE, KENDO, PLAT;3 GIMNASIOS - 2 NATATORIOS - 2 CANCHAS - 3 SALONES;LAFUENTE AV.;2480;;LAFUENTE AV. 2480;VILLA SOLDATI;COMUNA 8;1437;C1437BUO
-58.3722672158229;-34.6026968391457;178;ASOCIACION CRISTIANA DE JOVENES DE LA REPUBLICA ARGENTINA;CLUB;CLUB;CENTRAL;RECONQUISTA 439;;4311-4785;YMCA@YMCA.ORG.AR;YMCA ARGENTINA;WWW.YMCA.ORG.AR;NATACION, FUTBOL, VOLEY, BASQUET, CURSOS DE BUCEO, GIMNASIA, CURSO DE GUARDAVIDA, PESAS, FOLKLORE, TANGO, GOLF EN MICROCENTRO, ESCALADA EN ROCA. COLONIA DE VACACIONES.;3 GIMNASIOS - 2 NATATORIOS - 2 CANCHAS - 3 SALONES;RECONQUISTA;439;;RECONQUISTA 439;SAN NICOLAS;COMUNA 1;1003;C1003ABI
-58.4176493617395;-34.5976364817595;275;ASOCIACION CULTURAL Y DEPORTIVA BARKOJBA;CLUB;CLUB;SEDE ADMINISTRATIVA CAPITAL - PREDIO DEPORTIVO EN MORENO;AV. CORDOBA 3621;PISO 1 DPTO B;4862-6204;ADMINISTRACION@BARKOJBA.COM;;WWW.BARKOJBA.COM;FUTSAL, GIMNASIA, FUTBOL 11, TENIS, HOCKEY,;3 CANCHAS - 2 SALONES - 1 NATATORIO;CORDOBA AV.;3621;;CORDOBA AV. 3621;PALERMO;COMUNA 14;1188;C1188AAC
-58.4827912444282;-34.5474688696894;260;ASOCIACION CULTURAL Y DEPORTIVA ESTRELLA;CLUB DE BARRIO;CLUB_DE_BARRIO;;SUPERI 4437;;S/T;;;;GIMNASIA, CERAMICA;GIMNASIO  - BIBLIOTECA;SUPERI;4437;;SUPERI 4437;SAAVEDRA;COMUNA 12;1430;C1430FGG
-58.4947646950744;-34.6484991417913;224;ASOCIACION DE FOMENTO CORVALAN Y BIBLIOTECA POPULAR EMILIO CASTRO ANEXO ALFONSINA STORNI;CLUB DE BARRIO;CLUB_DE_BARRIO;;TAPALQUE 5147;;4635-4218;CLUBCORVALAN@YAHOO.COM.AR  -  DEPORTECORVALAN@HOTMAIL.COM;;;BABY, PATIN, ARTES MARCIALES;1 CANCHA - 1 GIMNASIO - 1 SALON;TAPALQUE;5147;;TAPALQUE 5147;MATADEROS;COMUNA 9;1440;C1440AEE
-58.5001783056425;-34.6696121645853;225;ASOCIACION DE FOMENTO EDILICIA Y CULTURAL CORONEL CARDENAS;CLUB;CLUB;;CARDENAS 2910;;4686-3465;;;;BABY, FUTBOL FEMENINO, FUTBOL, PATIN, DANZA, TANGO, FOLKLORE, DANZAS ARABES;2 NATATORIOS - 1 CANCHA - 3 SALONES;CARDENAS, CNEL. AV.;2910;;CARDENAS, CNEL. AV. 2910;MATADEROS;COMUNA 9;1440;C1440EJV
-58.4415389500174;-34.6608059817591;18;ASOCIACION DE FOMENTO JOSE SOLDATI;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;AV. LA FUENTE 2931;;4918-6132;SOLDATIJOSE@HOTMAIL.COM.AR;;;BABY FUTBOL, PATIN ARTISTICO Y COMPETITIVO, ACROBACIA CON TELAS, CHAIU-DO-KWAN.;CANCHA - SALON;LAFUENTE;2931;;LAFUENTE 2931;VILLA SOLDATI;COMUNA 8;1437;C1437BUG
-58.4802706782575;-34.5843099881107;276;ASOCIACION DE FOMENTO PARQUE CHAS;CLUB DE BARRIO;CLUB_DE_BARRIO;;BAUNESS 1486;;4523-2981;;;;YOGA, BABY, GIMNASIA, TANGO, PATIN;;BAUNESS;1486;;BAUNESS 1486;PARQUE CHAS;COMUNA 15;1431;C1431DNB
-58.4810206033788;-34.5833238654937;293;ASOCIACION DE FOMENTO PARQUE CHAS;CLUB DE BARRIO;CLUB_DE_BARRIO;DEPORTIVA;GANDARA 2840;;4524-7926;;A F PARQUE CHAS EQUIPO DEPORTIVO;WWW.AFPARQUECHAS.COM.AR;FUTBOL, YOGA, BABY, GIMNASIA, TANGO, PATIN, ARTES MARCIALES;;GANDARA;2840;;GANDARA 2840;PARQUE CHAS;COMUNA 15;;
-58.4634469095254;-34.6309642721169;294;ASOCIACION ESPAÑOLA DE SOCORROS MUTUOS DE SAN JOSE DE FLORES;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;PEDERNERA 143;;4637-7730;AEDSMDSJDF@GMAIL.COM;;;FUTBOL, PELOTA PALETA, BABY, TAEKWONDO, KOBU DO, YOGA, KARATE, TAICHICHUAN. GIMNASIA RITMICA.;;PEDERNERA;143;;PEDERNERA 143;FLORES;COMUNA 7;1406;C1406EEC
-58.4610819454646;-34.5997516160054;66;ASOCIACION SCHOLEM ALEIJEM;CLUB;CLUB;SEDE DEPORTIVA (TIENE DOS ANEXOS EN PROVINCIA);MATURIN  2455;;4582-5719;ADMINISTRACION@SHOLEM.ORG.AR;;WWW.SHOLEM.ORG.AR;VOLEY MASCULINO Y FEMENINO, BASKET MASCULINO, FUTBOL DE CAMPO, FUTBOL DE SALON, GIMNASIA DEPORTIVA, TAEKWONDO.;SALONES - CANCHAS;MATURIN;2455;;MATURIN 2455;PATERNAL;COMUNA 15;1416;C1416CTG
-58.4969791208791;-34.5800260516313;254;ASOCIACION URQUIZA TENIS CLUB (ANTES ASOCIACION CLUB ATLETICO URQUIZA);CLUB;CLUB;;CARACAS 4935;;4573-3501;UTC@FIBERTEL.COM.AR;;;TENIS, KARATE, BOCHAS;1 CANCHA DE BOCHAS, 1 DE FUTBOL 5, 1 SALON, NATATORIO, 5 CANCHAS DE TENIS  (4 DE POLVO DE LADRILLO Y UNA DE CEMENTO);CARACAS;4935;;CARACAS 4935;VILLA PUEYRREDON;COMUNA 12;1419;C1419EKC
-58.4805753825101;-34.6111834095822;253;ASOCIACION VECINAL DE FOMENTO Y CULTURA SANTA RITA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;SAN BLAS 2842;;4584-4874;;;;ARTES MARCIALES, GIMNASIA JAZZ, DANZAS, JUEGOS DE MESA;;SAN BLAS;2842;;SAN BLAS 2842;VILLA SANTA RITA;COMUNA 11;1416;C1416EFZ
-58.485337302127;-34.5451294658111;255;ASOCIACION VECINAL LOMAS DE SAAVEDRA;CLUB DE BARRIO;CLUB_DE_BARRIO;;PICO 3540;;4541-0777;;;;ARTES MARCIALES;1 CANCHA - 1 SALON;PICO;3540;;PICO 3540;SAAVEDRA;COMUNA 12;1430;C1430CWD
-58.4780515264558;-34.5531224002758;256;ASOCIACION VECINAL PRO-FOMENTO DE SAAVEDRA Y BIBLIOTECA POPULAR (EL PAÑUELITO);CLUB DE BARRIO;CLUB_DE_BARRIO;;JARAMILLO 3446;;4541-2810 / 4543-2119;;;;BABY, BASKET, VOLEY, GIMNASIA (MUSCULACION);1 CANCHA 20X14 DESCUBIERTA - 1 SALON;JARAMILLO;3446;;JARAMILLO 3446;SAAVEDRA;COMUNA 12;1430;C1430AGB
